# Residuals  
# Time       	U            	p            
2.500000e-03	1.000000e+00	1.000000e+00
5.000000e-03	4.736220e-01	8.644600e-01
7.500000e-03	4.711900e-01	9.187290e-01
1.000000e-02	3.651560e-01	9.046090e-01
1.250000e-02	4.026270e-01	9.293100e-01
1.500000e-02	3.399920e-01	9.201360e-01
1.750000e-02	4.007390e-01	9.393190e-01
2.000000e-02	3.480810e-01	9.324750e-01
2.250000e-02	4.201090e-01	9.479610e-01
2.500000e-02	3.710030e-01	9.424650e-01
2.750000e-02	4.479720e-01	9.550390e-01
3.000000e-02	4.017070e-01	9.504580e-01
3.250000e-02	4.805830e-01	9.607260e-01
3.500000e-02	4.367880e-01	9.569270e-01
3.750000e-02	5.154790e-01	9.650220e-01
4.000000e-02	4.738620e-01	9.621930e-01
4.250000e-02	5.507640e-01	9.684920e-01
4.500000e-02	5.113960e-01	9.665700e-01
4.750000e-02	5.849520e-01	9.715200e-01
5.000000e-02	5.480880e-01	9.702020e-01
5.250000e-02	6.170490e-01	9.738890e-01
5.500000e-02	5.831400e-01	9.729900e-01
5.750000e-02	6.464870e-01	9.758430e-01
6.000000e-02	6.158340e-01	9.754020e-01
6.250000e-02	6.730950e-01	9.774930e-01
6.500000e-02	6.455440e-01	9.773640e-01
6.750000e-02	6.964420e-01	9.789310e-01
7.000000e-02	6.719470e-01	9.789860e-01
7.250000e-02	7.168210e-01	9.800580e-01
7.500000e-02	6.949620e-01	9.802400e-01
7.750000e-02	7.343250e-01	9.810180e-01
8.000000e-02	7.146330e-01	9.813780e-01
8.250000e-02	7.490050e-01	9.818490e-01
8.500000e-02	7.313570e-01	9.823550e-01
8.750000e-02	7.612840e-01	9.825670e-01
9.000000e-02	7.455330e-01	9.830710e-01
9.250000e-02	7.715370e-01	9.831250e-01
9.500000e-02	7.573910e-01	9.836270e-01
9.750000e-02	7.797810e-01	9.836080e-01
1.000000e-01	7.671070e-01	9.840330e-01
1.025000e-01	7.861410e-01	9.839790e-01
1.050000e-01	7.749770e-01	9.843790e-01
1.075000e-01	7.910910e-01	9.842720e-01
1.100000e-01	7.812960e-01	9.846040e-01
1.125000e-01	7.949130e-01	9.844520e-01
1.150000e-01	7.864520e-01	9.847620e-01
1.175000e-01	7.980290e-01	9.845690e-01
1.200000e-01	7.905170e-01	9.848280e-01
1.225000e-01	8.002050e-01	9.846220e-01
1.250000e-01	7.935120e-01	9.848680e-01
1.275000e-01	8.016300e-01	9.845890e-01
1.300000e-01	7.958200e-01	9.848210e-01
1.325000e-01	8.026860e-01	9.845150e-01
1.350000e-01	7.975920e-01	9.845910e-01
1.375000e-01	8.033650e-01	9.843400e-01
1.400000e-01	8.008090e-01	9.844150e-01
1.425000e-01	8.035770e-01	9.841050e-01
1.450000e-01	8.123670e-01	9.840100e-01
1.475000e-01	8.036710e-01	9.838370e-01
1.500000e-01	8.213440e-01	9.836050e-01
1.525000e-01	8.036260e-01	9.835330e-01
1.550000e-01	8.283790e-01	9.831870e-01
